state,county,city,density,impervious,rel
Connecticut,New Haven,Southbury,98.61082470879616,38.0,0.7705692489210177
Connecticut,New Haven,Wallingford,0.0887279455969925,22.0,0.0
Connecticut,New Haven,Waterbury,699.312593648762,29.0,0.4598429649390269
Connecticut,New Haven,West Haven,893.306447462271,2.0,1.0059774939103792
Connecticut,New Haven,Wolcott,132.3656518462906,51.0,0.1505156892718054
Connecticut,New Haven,Woodbridge,76.98729167841265,0.0,4.501116740830628
Connecticut,New London,Colchester,57.05760216976974,0.0,0.5361427028563859
Connecticut,New London,East Lyme,114.39775608330412,0.0,0.8661709859094093
Connecticut,New London,Franklin,19.980904915202707,0.0,2.284843711168013
Connecticut,New London,Griswold,37.89886806637595,18.0,1.9963987229387643
Connecticut,New London,Groton,69.4271069736935,0.0,0.1925451883030823
Connecticut,New London,Lebanon,15.88001044126745,0.0,4.164130229074069
Connecticut,New London,Ledyard,68.51657651009458,0.0,0.3509788774785763
Connecticut,New London,Lisbon,44.12294671900631,0.0,2.464941176731948
Connecticut,New London,Lyme,16.247021956089473,0.0,4.897564650961298
Connecticut,New London,Montville,74.39287036462804,0.0,0.7170509815301301
Connecticut,New London,New London,963.819181020888,85.0,0.0955612470453791
Connecticut,New London,North Stonington,18.60473392259,0.0,2.343322109168587
Connecticut,New London,Norwich,0.0687945405092936,5.0,0.0
Connecticut,New London,Old Lyme,92.19024630885018,0.0,1.7761440348968447
Connecticut,New London,Preston,27.76501196713344,0.0,3.1146793792608207
Connecticut,New London,Salem,26.43981015922678,0.0,0.8037229104722079
Connecticut,New London,Sprague,42.51213476521668,0.0,7.205400805453745
Connecticut,New London,Stonington,108.22817625190828,0.0,0.3440969318338764
Connecticut,New London,Voluntown,13.089056852898084,0.0,2.0665567579986703
Connecticut,New London,Waterford,114.99912743281337,0.0,0.3307108814679881
Connecticut,Tolland,Andover,35.51391610678307,0.0,3.866261827105344
Connecticut,Tolland,Bolton,60.37858417445954,0.0,2.227685846906154
Connecticut,Tolland,Columbia,44.928148563567426,0.0,1.7305790216870431
Connecticut,Tolland,Coventry,58.03221623492304,0.0,1.074995125275542
Connecticut,Tolland,Ellington,87.1094445783853,0.0,0.3596683993462284
Connecticut,Tolland,Hebron,41.378177105442056,0.0,0.284118501479909
Connecticut,Tolland,Mansfield,64.38253888454929,0.0,1.0396004817442714
Connecticut,Tolland,Somers,55.616490822763424,0.0,0.6414117342734649
Connecticut,Tolland,Stafford,41.89817353434478,0.0,0.6015464744624327
Connecticut,Tolland,Tolland,58.85991587504253,0.0,1.466858199976536
Connecticut,Tolland,Union,6.089391952666446,1.0,0.5756411100639702
Connecticut,Tolland,Vernon,351.64469624629965,0.0,1.12995111473489
Connecticut,Tolland,Willington,34.303572819161666,0.0,0.1985900305385355
Connecticut,Unknown,Hartland,10.22746478478506,0.0,1.0
Connecticut,Windham,Ashford,21.874041143039378,0.0,0.3628627511539543
Connecticut,Windham,Brooklyn,48.47933846510147,0.0,0.819851581599297
Connecticut,Windham,Canterbury,21.9609220470974,0.0,2.454184080245416
Connecticut,Windham,Chaplin,22.400283792679858,0.0,0.5472171579611227
Connecticut,Windham,Eastford,12.188852505379248,0.0,1.4069145642100362
Connecticut,Windham,Hampton,13.60241013780857,0.0,2.676241346923893
Connecticut,Windham,Killingly,70.90054909831879,0.0,0.6902652597378246
Connecticut,Windham,Plainfield,65.72042844730457,0.0,0.4742984879641251
Connecticut,Windham,Pomfret,18.32433369840946,0.0,3.2386388828480515
Connecticut,Windham,Putnam,99.2240840165194,0.0,0.2767821585468142
Connecticut,Windham,Scotland,15.003670096649332,26.0,7.242521438310906
Connecticut,Windham,Sterling,23.617079900552945,0.0,1.3816119709808832
Connecticut,Windham,Thompson,38.453826929465215,0.0,1.726616280353433
Connecticut,Windham,Windham,148.14364195058047,0.0,0.3105050312945983
Connecticut,Windham,Woodstock,26.57712878427184,0.0,1.478076970149945
Massachusetts,Barnstable,Bourne,109.93697731513754,60.0,0.4538549804339254
Massachusetts,Barnstable,Brewster,151.8953143888824,1.0,0.2457634543924437
Massachusetts,Barnstable,Chatham,202.14223010012893,0.0,5.485403586896456
Massachusetts,Barnstable,Dennis,321.0737055651201,59.0,0.3138539918516814
Massachusetts,Barnstable,Eastham,182.19214047818429,0.0,0.0
Massachusetts,Barnstable,Falmouth,225.52501674414145,0.0,0.9498651070829586
Massachusetts,Barnstable,Harwich,208.00887603140583,0.0,0.0760596346097198
Massachusetts,Barnstable,Mashpee,199.27203815222765,41.0,0.5956776536560352
Massachusetts,Barnstable,Orleans,183.5713859478803,0.0,1.5760562021371884
Massachusetts,Barnstable,Provincetown,235.8440093305911,28.0,0.045764799049341
Massachusetts,Barnstable,Sandwich,99.19942354453016,25.0,1.6947872498715106
Massachusetts,Barnstable,Truro,67.03660133939424,15.0,2.3686573987384856
Massachusetts,Barnstable,Wellfleet,92.23099997490286,41.0,2.7604784272082292
Massachusetts,Barnstable,Yarmouth,297.2983349471092,55.0,0.3076135684336313
Massachusetts,Berkshire,Adams,78.18665923721905,3.0,0.3762998813708224
Massachusetts,Berkshire,Alford,12.448845228674717,0.0,0.8005556684775881
Massachusetts,Berkshire,Cheshire,24.07745093870162,0.0,0.3242663948002773
Massachusetts,Berkshire,Clarksburg,24.187097513006577,0.0,0.2503013034162027
Massachusetts,Berkshire,Egremont,21.759260178535143,0.0,2.4498319396392225
Massachusetts,Berkshire,Florida,6.498644786881462,0.0,5.760925749937581
Massachusetts,Berkshire,Great Barrington,38.92995165553001,0.0,0.125545728064814
Massachusetts,Berkshire,Hancock,7.757912784311003,0.0,2.79896571729404
Massachusetts,Berkshire,Lenox,56.6140733268899,0.0,0.2287124522039816
Massachusetts,Berkshire,Monterey,13.817419366448243,0.0,0.3236895328468133
Massachusetts,Berkshire,Mount Washington,3.1232729818667977,0.0,0.0
