state,county,city,town_tracked,aland_sqkm,density,lat,lon,rel
Connecticut,Middlesex,Old Saybrook,7128.0,39.003142,182.7545073163593,41.293504,-72.383594,0.494294511360694
Connecticut,Middlesex,Portland,4656.0,60.476326,76.9888038502868,41.598834,-72.589071,0.44240953564123486
Connecticut,Middlesex,Westbrook,4658.0,40.84393,114.04387383878094,41.303695,-72.478017,1.7337311283002446
Connecticut,New Haven,Ansonia,8555.0,15.588608,548.7981993004122,41.344249,-73.069825,0.13206427151885922
Connecticut,New Haven,Beacon Falls,2806.0,25.055586,111.99099474264939,41.443685,-73.051925,0.9549273190798916
Connecticut,New Haven,Bethany,2353.0,54.564789,43.12304772222248,41.422964,-72.994187,11.082811793530889
Connecticut,New Haven,Branford,16593.0,56.568416,293.3262264228859,41.279949,-72.78595,0.3129769823743222
Connecticut,New Haven,Cheshire,11575.0,85.045589,136.10347269157015,41.511827,-72.903617,1.9509510857800203
Connecticut,New Haven,Derby,6393.0,13.094125,488.2342271820377,41.326124,-73.082574,0.11723196361195587
Connecticut,New Haven,East Haven,13315.0,31.847385,418.08770170612127,41.293453,-72.858994,0.15712469171132792
Connecticut,New Haven,Guilford,11043.0,121.933331,90.56588472925422,41.339032,-72.70609,0.555969339234529
Connecticut,New Haven,Hamden,26952.0,84.513849,318.90631321264283,41.397329,-72.922226,1.1965004505317605
Connecticut,New Haven,Madison,9184.0,93.622112,98.09648387338238,41.344479,-72.624543,0.47229520630230576
Connecticut,New Haven,Meriden,27834.0,61.466622,452.8311316668744,41.536777,-72.794543,0.31697648191026734
Connecticut,New Haven,Middlebury,3485.0,45.988511,75.77979639306,41.524691,-73.123016,1.4496954456264324
Connecticut,New Haven,Milford,27328.0,57.444044,475.7325232882281,41.225086,-73.06111,0.7690831647342966
Connecticut,New Haven,Naugatuck,14450.0,42.435044,340.52044343349803,41.487785,-73.051551,4.4137106445371375
Connecticut,New Haven,New Haven,58827.0,48.407074,1215.2562660573121,41.310809,-72.924953,0.7954538090049411
Connecticut,New Haven,North Branford,3491.0,64.123452,54.44186005457099,41.362257,-72.783462,0.08157827279534687
Connecticut,New Haven,North Haven,11648.0,53.974694,215.8048362441851,41.381465,-72.856371,1.8039425564151967
Connecticut,New Haven,Orange,6396.0,44.498764,143.73432934002392,41.284951,-73.024637,0.4690908084039187
Connecticut,New Haven,Oxford,5613.0,84.809656,66.18350155788865,41.444033,-73.148235,1.784411459387825
Connecticut,New Haven,Prospect,4149.0,36.781443,112.80144718628901,41.499247,-72.975634,1.3493169596915622
Connecticut,New Haven,Seymour,7631.0,37.600922,202.94715113634714,41.385466,-73.083641,1.8219733089383092
Connecticut,New Haven,Southbury,9962.0,101.023392,98.61082470879616,41.475986,-73.229692,0.7705692489210177
Connecticut,New Haven,Wallingford,9.0,101.433657,0.08872794559699253,41.458657,-72.804516,0.0
Connecticut,New Haven,Waterbury,51722.0,73.961202,699.312593648762,41.5585,-73.036685,0.45984296493902693
Connecticut,New Haven,West Haven,24872.0,27.842629,893.306447462271,41.272121,-72.967497,1.0059774939103792
Connecticut,New Haven,Wolcott,6989.0,52.800707,132.3656518462906,41.59503,-72.968514,0.1505156892718054
Connecticut,New Haven,Woodbridge,3751.0,48.722327,76.98729167841265,41.363536,-73.003891,4.501116740830628
Connecticut,New London,Colchester,7233.0,126.766631,57.05760216976974,41.557271,-72.344247,0.5361427028563859
Connecticut,New London,East Lyme,10079.0,88.104875,114.39775608330412,41.356068,-72.229841,0.8661709859094093
Connecticut,New London,Franklin,1020.0,51.048739,19.980904915202707,41.621212,-72.142609,2.284843711168013
Connecticut,New London,Griswold,3407.0,89.897144,37.89886806637595,41.584772,-71.921091,1.9963987229387643
Connecticut,New London,Groton,5594.0,80.573716,69.4271069736935,41.347718,-72.031345,0.19254518830308232
Connecticut,New London,Lebanon,2225.0,140.113258,15.88001044126745,41.632955,-72.24009,4.164130229074069
Connecticut,New London,Ledyard,6781.0,98.968751,68.51657651009458,41.431132,-72.020303,0.3509788774785763
Connecticut,New London,Lisbon,1862.0,42.200264,44.12294671900631,41.602766,-72.012261,2.4649411767319482
Connecticut,New London,Lyme,1338.0,82.353554,16.247021956089473,41.398615,-72.331546,4.897564650961298
Connecticut,New London,Montville,8055.0,108.276505,74.39287036462804,41.4639,-72.15557,0.7170509815301301
Connecticut,New London,New London,13996.0,14.521396,963.8191810208881,41.332957,-72.096176,0.09556124704537913
Connecticut,New London,North Stonington,2614.0,140.501875,18.60473392259,41.470969,-71.872525,2.343322109168587
Connecticut,New London,Norwich,5.0,72.680186,0.06879454050929368,41.548006,-72.089454,0.0
Connecticut,New London,Old Lyme,5495.0,59.605004,92.19024630885018,41.31232,-72.305742,1.7761440348968447
Connecticut,New London,Preston,2217.0,79.848696,27.76501196713344,41.518652,-72.006597,3.1146793792608207
Connecticut,New London,Salem,1981.0,74.924895,26.43981015922678,41.489351,-72.25838,0.8037229104722079
Connecticut,New London,Sprague,1458.0,34.29609,42.51213476521668,41.63557,-72.077527,7.205400805453745
Connecticut,New London,Stonington,10831.0,100.075603,108.22817625190827,41.36351,-71.911368,0.3440969318338764
Connecticut,New London,Voluntown,1321.0,100.924002,13.089056852898084,41.579192,-71.831228,2.0665567579986703
Connecticut,New London,Waterford,9789.0,85.122385,114.99912743281337,41.351686,-72.146834,0.33071088146798816
Connecticut,Tolland,Andover,1421.0,40.012484,35.51391610678307,41.732982,-72.374658,3.866261827105344
Connecticut,Tolland,Bolton,2253.0,37.314555,60.37858417445954,41.764589,-72.437575,2.227685846906154
Connecticut,Tolland,Columbia,2487.0,55.355052,44.928148563567426,41.693707,-72.305671,1.7305790216870431
Connecticut,Tolland,Coventry,5647.0,97.308019,58.03221623492304,41.780212,-72.343758,1.074995125275542
Connecticut,Tolland,Ellington,7680.0,88.164952,87.1094445783853,41.914149,-72.445568,0.3596683993462284
Connecticut,Tolland,Hebron,3954.0,95.557617,41.378177105442056,41.658584,-72.39342,0.284118501479909
Connecticut,Tolland,Mansfield,7443.0,115.605879,64.38253888454929,41.789272,-72.228464,1.0396004817442714
Connecticut,Tolland,Somers,4099.0,73.701162,55.616490822763424,41.992633,-72.453725,0.6414117342734649
Connecticut,Tolland,Stafford,6298.0,150.316815,41.89817353434478,41.983879,-72.307574,0.6015464744624327
Connecticut,Tolland,Tolland,6041.0,102.633514,58.85991587504253,41.883019,-72.358869,1.466858199976536
Connecticut,Tolland,Union,455.0,74.720104,6.089391952666446,41.999885,-72.162244,0.5756411100639702
Connecticut,Tolland,Vernon,16136.0,45.887227,351.64469624629965,41.837561,-72.45904,1.12995111473489
Connecticut,Tolland,Willington,2958.0,86.230085,34.303572819161666,41.897267,-72.251848,0.1985900305385355
Connecticut,Unknown,Hartland,874.0,85.456173,10.227464784785061,42.001205,-72.954027,1.0
Connecticut,Windham,Ashford,2196.0,100.392972,21.874041143039374,41.897123,-72.171427,0.36286275115395433
Connecticut,Windham,Brooklyn,3658.0,75.454825,48.47933846510147,41.787243,-71.957401,0.819851581599297
Connecticut,Windham,Canterbury,2272.0,103.456494,21.960922047097398,41.69396,-72.009118,2.4541840802454162
Connecticut,Windham,Chaplin,1125.0,50.222578,22.400283792679858,41.79089,-72.12954,0.5472171579611227
Connecticut,Windham,Eastford,913.0,74.904508,12.188852505379248,41.89559,-72.093304,1.4069145642100362
Connecticut,Windham,Hampton,884.0,64.988483,13.60241013780857,41.78303,-72.064572,2.676241346923893
Connecticut,Windham,Killingly,8878.0,125.217648,70.90054909831879,41.829902,-71.849097,0.6902652597378246
Connecticut,Windham,Plainfield,7219.0,109.84408,65.72042844730457,41.693613,-71.900776,0.47429848796412516
Connecticut,Windham,Pomfret,1914.0,104.451274,18.32433369840946,41.86804,-71.97226,3.2386388828480515
