fips,name,regime,obs,routed_wape,xgb_wape,margin,years_won,cells_won,route
36091,"Saratoga, NY",stable,1761.0,0.06484550645528125,0.027725685877801116,0.5724347392225042,3,9.0,weather
10005,"Sussex, DE",stable,1972.0,0.12151767530730896,0.05521205049432218,0.5456459288354958,2,11.0,statistical
36017,"Chenango, NY",stable,498.0,0.10420742164159977,0.056913982339300215,0.45383945363273376,3,10.0,weather
24017,"Charles, MD",stable,1468.0,0.17750811340493636,0.103848061059937,0.41496724252239686,2,7.0,statistical
36083,"Rensselaer, NY",shift,1423.0,0.06816584680252986,0.040883747065924826,0.40023121572359766,3,9.0,weather
36099,"Seneca, NY",stable,253.0,0.25564644775219847,0.15454749485507763,0.3954639455624958,3,9.0,weather
36087,"Rockland, NY",stable,2036.0,0.06211739665515381,0.03804649070947532,0.38750667674160094,3,9.0,weather
36109,"Tompkins, NY",shift,494.0,0.22267206477732793,0.1485285160274421,0.3329719371131236,2,9.0,statistical
23027,"Waldo, ME",stable,337.0,0.27255379171117694,0.18429533393351402,0.3238203263420004,3,10.0,weather
09007,"Middlesex, CT",shift,746.0,0.17560321715817695,0.12229842245422408,0.30355249503167053,1,5.0,statistical
09015,"Windham, CT",trend,682.0,0.17888563049853373,0.12517601375337067,0.3002455624606656,1,3.0,statistical
24037,"St. Mary's, MD",stable,1361.0,0.12228010358404931,0.08753222187303246,0.2841662763814464,3,8.0,weather
36023,"Cortland, NY",stable,531.0,0.11190877724504776,0.08082734474577022,0.2777390055046194,3,6.0,weather
24021,"Frederick, MD",stable,1790.0,0.11368139893862486,0.08255071376943911,0.2738415031820009,2,6.0,statistical
50007,"Chittenden, VT",stable,791.0,0.17069408729098784,0.12434958349215379,0.2715062046632526,3,7.0,weather
34027,"Morris, NJ",stable,1954.0,0.1926584453801733,0.14357424258752274,0.2547731696671412,2,8.0,statistical
36045,"Jefferson, NY",stable,828.0,0.11235143763153269,0.08389615861611123,0.2532702706372416,1,6.0,statistical
25003,"Berkshire, MA",stable,914.0,0.192186361578174,0.14511253025866144,0.24493845938367872,2,9.0,statistical
36075,"Oswego, NY",trend,1061.0,0.18190386427898209,0.13921905451813824,0.23465587127593435,2,8.0,statistical
42021,"Cambria, PA",trend,1473.0,0.1079429735234216,0.08362486444586736,0.22528663315243636,2,7.0,statistical
33009,"Grafton, NH",shift,665.0,0.15639097744360902,0.12277269029713711,0.214963086080806,3,8.0,weather
36121,"Wyoming, NY",stable,321.0,0.3620601545018444,0.28589611328685055,0.21036294733892313,2,9.0,statistical
36085,"Richmond, NY",stable,840.0,0.2052788111954826,0.16218865543036692,0.20991039218403235,2,7.0,statistical
54061,"Monongalia, WV",stable,1105.0,0.1252868422063014,0.09957326270623054,0.20523766939332735,2,7.0,statistical
36117,"Wayne, NY",stable,509.0,0.40040105283735794,0.31986210499720374,0.20114569447166,1,9.0,statistical
50027,"Windsor, VT",stable,720.0,0.0922180178969208,0.07410342845524667,0.19643221416797532,2,7.0,statistical
09005,"Litchfield, CT",stable,1042.0,0.10169867489598594,0.08180720275601397,0.19559224503481795,2,5.0,statistical
36065,"Oneida, NY",trend,1347.0,0.07646622123236822,0.0623302452074106,0.18486562820988267,2,7.0,statistical
54107,"Wood, WV",stable,822.0,0.23661543173664337,0.1936649435462771,0.18152023253568184,2,10.0,statistical
36053,"Madison, NY",stable,561.0,0.14300615073409037,0.11712394399969205,0.18098666806663738,2,8.0,statistical
42119,"Union, PA",stable,341.0,0.2541746765272695,0.2104310068697226,0.17210081765503413,3,8.0,weather
