fips,mcc_raw,households,housing_units,peak,base,status,excluded,reason
36013,49280.0,53405.0,66350.0,13217.0,66350,housing_floor,False,
36015,45622.0,34779.0,39035.0,39593.0,45622,mcc_ok,False,
36017,25004.0,19886.0,24384.0,21874.0,25004,mcc_ok,False,
36019,44965.0,32651.0,37309.0,17251.0,44965,mcc_ok,False,
36021,30817.0,25300.0,33292.0,20477.0,33292,housing_floor,False,
36023,23943.0,18514.0,20803.0,8105.0,23943,mcc_ok,False,
36025,23975.0,18780.0,30092.0,26651.0,30092,housing_floor,False,
36027,150017.0,113972.0,122129.0,67413.0,150017,mcc_ok,False,
36029,521085.0,406547.0,438630.0,147874.0,521085,mcc_ok,False,
36031,23389.0,15750.0,25262.0,14524.0,25262,housing_floor,False,
36033,23669.0,18933.0,25352.0,8669.0,25352,housing_floor,False,
36035,26643.0,22103.0,28164.0,13567.0,28164,housing_floor,False,
36037,29240.0,24416.0,26039.0,18731.0,29240,mcc_ok,False,
36039,23513.0,17903.0,29007.0,20836.0,29007,housing_floor,False,
36041,2561.0,1725.0,7920.0,7289.0,7920,housing_floor,False,
36043,27865.0,24664.0,32445.0,15496.0,32445,housing_floor,False,
36045,62240.0,46099.0,61573.0,39726.0,62240,mcc_ok,False,
36047,915206.0,997957.0,1079551.0,35638.0,1079551,housing_floor,False,
36049,12631.0,10672.0,15501.0,6974.0,15501,housing_floor,False,
36051,33457.0,24071.0,27150.0,10962.0,33457,mcc_ok,False,
36053,34017.0,25218.0,30671.0,13208.0,34017,mcc_ok,False,
36055,302455.0,314727.0,336324.0,284600.0,336324,housing_floor,False,
36057,24995.0,18918.0,22924.0,6714.0,24995,mcc_ok,False,
36059,427483.0,454771.0,476982.0,457901.0,476982,housing_floor,False,
36061,873185.0,772601.0,913058.0,137473.0,913058,housing_floor,False,
36063,106178.0,90982.0,100182.0,28719.0,106178,mcc_ok,False,
36065,120802.0,92944.0,105054.0,37630.0,120802,mcc_ok,False,
36067,134654.0,192785.0,211312.0,20532.0,211312,housing_floor,False,
36069,75985.0,47080.0,52636.0,47792.0,75985,mcc_ok,False,
36071,176531.0,135140.0,147158.0,67715.0,176531,mcc_ok,False,
36073,20376.0,16201.0,18244.0,11252.0,20376,mcc_ok,False,
36075,57759.0,47203.0,54570.0,14521.0,57759,mcc_ok,False,
36077,31300.0,22305.0,29965.0,24592.0,31300,mcc_ok,False,
36079,47493.0,34903.0,38323.0,37978.0,47493,mcc_ok,False,
36081,847158.0,816859.0,896825.0,52750.0,896825,housing_floor,False,
36083,80326.0,66088.0,74186.0,41294.0,80326,mcc_ok,False,
36085,166680.0,170000.0,183524.0,37990.0,183524,housing_floor,False,
36087,133071.0,102579.0,108165.0,59913.0,133071,mcc_ok,False,
36089,57536.0,41399.0,51780.0,11498.0,57536,mcc_ok,False,
36091,117711.0,98409.0,110095.0,48632.0,117711,mcc_ok,False,
36093,78627.0,63964.0,70843.0,31874.0,78627,mcc_ok,False,
36095,14522.0,12283.0,16517.0,14083.0,16517,housing_floor,False,
36097,4852.0,7446.0,9671.0,9595.0,9671,housing_floor,False,
36099,17541.0,13622.0,16116.0,16568.0,17541,mcc_ok,False,
36101,27662.0,39165.0,47507.0,39435.0,47507,housing_floor,False,
36103,657677.0,510686.0,578977.0,599357.0,657677,mcc_ok,False,
36105,40509.0,29895.0,49390.0,45694.0,49390,housing_floor,False,
36107,24210.0,20312.0,21909.0,19104.0,24210,mcc_ok,False,
36109,63720.0,42984.0,46728.0,44794.0,63720,mcc_ok,False,
36111,89470.0,72265.0,85916.0,47925.0,89470,mcc_ok,False,
36113,36391.0,29782.0,40039.0,23676.0,40039,housing_floor,False,
36115,29152.0,24235.0,29063.0,13786.0,29152,mcc_ok,False,
36117,55917.0,37756.0,42274.0,40913.0,55917,mcc_ok,False,
36119,368730.0,367740.0,389146.0,124918.0,389146,housing_floor,False,
36121,21392.0,16152.0,18137.0,13288.0,21392,mcc_ok,False,
36123,12531.0,8882.0,13113.0,11008.0,13113,housing_floor,False,
37001,925.0,67370.0,74055.0,26704.0,74055,housing_floor,False,
37003,6903.0,13761.0,16035.0,13411.0,16035,housing_floor,False,
37005,7617.0,4937.0,7726.0,8223.0,8223,peak_floor,False,
37007,6334.0,8266.0,9963.0,13702.0,13702,peak_floor,False,
37009,17506.0,11823.0,17026.0,22258.0,22258,peak_floor,False,
37011,18986.0,6481.0,13915.0,1306.0,18986,mcc_ok,False,
37013,19720.0,18972.0,24299.0,10377.0,24299,housing_floor,False,
37015,10165.0,6984.0,9008.0,5381.0,10165,mcc_ok,False,
37017,11706.0,11386.0,15348.0,11031.0,15348,housing_floor,False,
37019,82037.0,60915.0,90454.0,85376.0,90454,housing_floor,False,
37021,32499.0,102921.0,130081.0,223578.0,223578,excluded,True,peak_exceeds_base
37023,19746.0,35195.0,39773.0,35178.0,39773,housing_floor,False,
37025,36290.0,76880.0,88031.0,26906.0,88031,housing_floor,False,
37027,43296.0,32120.0,37125.0,37284.0,43296,mcc_ok,False,
37029,6187.0,3871.0,4170.0,3432.0,6187,mcc_ok,False,
37031,39432.0,30414.0,51096.0,37514.0,51096,housing_floor,False,
37033,1905.0,8507.0,10493.0,16247.0,16247,excluded,True,peak_exceeds_base
37035,8165.0,64442.0,71047.0,30796.0,71047,housing_floor,False,
37037,3797.0,31131.0,34190.0,17868.0,34190,housing_floor,False,
37039,16160.0,12758.0,18006.0,6850.0,18006,housing_floor,False,
37041,12047.0,6216.0,7162.0,3308.0,12047,mcc_ok,False,
37043,9637.0,4892.0,7320.0,5464.0,9637,mcc_ok,False,
37045,18853.0,36567.0,43782.0,41519.0,43782,housing_floor,False,
37047,22736.0,19185.0,23641.0,28889.0,28889,peak_floor,False,
37049,35033.0,41004.0,47051.0,20735.0,47051,housing_floor,False,
37051,93841.0,126745.0,142702.0,35970.0,142702,housing_floor,False,
37053,17795.0,11108.0,16219.0,15073.0,17795,mcc_ok,False,
37055,23623.0,16081.0,34493.0,31918.0,34493,housing_floor,False,
37057,37592.0,67684.0,74958.0,26329.0,74958,housing_floor,False,
37059,8950.0,16468.0,18845.0,9461.0,18845,housing_floor,False,
37061,9258.0,20289.0,23865.0,12989.0,23865,housing_floor,False,
37063,6008.0,135469.0,145518.0,67952.0,145518,housing_floor,False,
37065,19560.0,19350.0,23229.0,4195.0,23229,housing_floor,False,
37067,27915.0,153096.0,171040.0,61794.0,171040,housing_floor,False,
37069,27296.0,26473.0,29764.0,15099.0,29764,housing_floor,False,
37071,47215.0,90427.0,98616.0,52626.0,98616,housing_floor,False,
37073,5460.0,4144.0,4819.0,4753.0,5460,mcc_ok,False,
37075,,3179.0,5272.0,6429.0,6429,peak_floor,False,
37077,6395.0,21505.0,24344.0,82528.0,82528,excluded,True,peak_exceeds_base
37079,5487.0,6793.0,7889.0,2799.0,7889,housing_floor,False,
37081,41756.0,212825.0,233332.0,95814.0,233332,housing_floor,False,
37083,28826.0,20139.0,24847.0,10700.0,28826,mcc_ok,False,
37085,22060.0,47870.0,53252.0,29527.0,53252,housing_floor,False,
37087,,26481.0,35051.0,28871.0,35051,housing_floor,False,
37089,24.0,49494.0,56744.0,131460.0,131460,excluded,True,peak_exceeds_base
37091,14012.0,8353.0,9864.0,5655.0,14012,mcc_ok,False,
37093,12912.0,18481.0,20322.0,10102.0,20322,housing_floor,False,
37095,700.0,2002.0,2939.0,4280.0,4280,peak_floor,False,
37097,35197.0,72296.0,79853.0,33405.0,79853,housing_floor,False,
37099,,17737.0,26967.0,22087.0,26967,housing_floor,False,
37101,13828.0,79387.0,85278.0,39337.0,85278,housing_floor,False,
37103,2265.0,3815.0,4669.0,4323.0,4669,housing_floor,False,
37105,13067.0,24050.0,26560.0,19796.0,26560,housing_floor,False,
37107,15148.0,22665.0,26681.0,10490.0,26681,housing_floor,False,
37109,25563.0,34910.0,37715.0,23646.0,37715,housing_floor,False,
37111,12442.0,18184.0,21328.0,43021.0,43021,excluded,True,peak_exceeds_base
37113,,17386.0,26929.0,23975.0,26929,housing_floor,False,
37115,2231.0,8447.0,11092.0,15310.0,15310,peak_floor,False,
37117,13275.0,9332.0,11108.0,9474.0,13275,mcc_ok,False,
37119,28172.0,446584.0,481307.0,116836.0,481307,housing_floor,False,
37121,1696.0,6479.0,8665.0,11504.0,11504,peak_floor,False,
37123,5038.0,9505.0,14926.0,8564.0,14926,housing_floor,False,
37125,5708.0,41782.0,48595.0,40736.0,48595,housing_floor,False,
37127,26243.0,37793.0,43320.0,13209.0,43320,housing_floor,False,
37129,2544.0,99975.0,114625.0,114738.0,114738,peak_floor,False,
37131,6048.0,7463.0,10652.0,4999.0,10652,housing_floor,False,
37133,77669.0,71009.0,84531.0,71864.0,84531,housing_floor,False,
37135,19163.0,55534.0,61213.0,29013.0,61213,housing_floor,False,
37137,1811.0,5130.0,7206.0,10719.0,10719,peak_floor,False,
37139,34122.0,15422.0,17445.0,3239.0,34122,mcc_ok,False,
37141,14750.0,23258.0,30283.0,245938.0,245938,excluded,True,peak_exceeds_base
37143,7907.0,5568.0,6906.0,2945.0,7907,mcc_ok,False,
37145,5498.0,16139.0,18372.0,15873.0,18372,housing_floor,False,
37147,80606.0,72153.0,80763.0,23397.0,80763,housing_floor,False,
37149,5215.0,8541.0,10881.0,17366.0,17366,excluded,True,peak_exceeds_base
37151,31255.0,55894.0,62249.0,29139.0,62249,housing_floor,False,
37153,12592.0,16605.0,19768.0,18446.0,19768,housing_floor,False,
37155,60455.0,42509.0,48811.0,43321.0,60455,mcc_ok,False,
37157,9416.0,38710.0,43586.0,33309.0,43586,housing_floor,False,
37159,16951.0,56618.0,63508.0,22195.0,63508,housing_floor,False,
37161,7084.0,26273.0,32640.0,51166.0,51166,excluded,True,peak_exceeds_base
37163,19420.0,21395.0,25685.0,28150.0,28150,peak_floor,False,
37165,10518.0,12224.0,14422.0,10690.0,14422,housing_floor,False,
37167,26968.0,23773.0,27802.0,7706.0,27802,housing_floor,False,
37169,6242.0,18993.0,21285.0,13632.0,21285,housing_floor,False,
37171,10853.0,28990.0,33549.0,19967.0,33549,housing_floor,False,
37173,,5684.0,8451.0,7560.0,8451,housing_floor,False,
37175,,14353.0,19072.0,21167.0,21167,peak_floor,False,
37177,1979.0,1351.0,1845.0,2393.0,2393,peak_floor,False,
37179,65408.0,80271.0,84798.0,51973.0,84798,housing_floor,False,
37181,863.0,16123.0,19392.0,15555.0,19392,housing_floor,False,
37183,46622.0,430497.0,466760.0,119303.0,466760,housing_floor,False,
37185,3813.0,7686.0,11438.0,8142.0,11438,housing_floor,False,
37187,4062.0,4897.0,6061.0,5654.0,6061,housing_floor,False,
37189,18248.0,21194.0,32783.0,25405.0,32783,housing_floor,False,
37191,18042.0,46949.0,52882.0,27873.0,52882,housing_floor,False,
37193,8042.0,27249.0,31743.0,25695.0,31743,housing_floor,False,
37195,35644.0,32287.0,36429.0,25920.0,36429,housing_floor,False,
37197,5364.0,14850.0,17065.0,16980.0,17065,housing_floor,False,
37199,2023.0,7859.0,11266.0,14335.0,14335,peak_floor,False,
38001,1902.0,997.0,1337.0,918.0,1902,mcc_ok,False,
38003,7694.0,4892.0,5693.0,2952.0,7694,mcc_ok,False,
38005,2086.0,1869.0,2574.0,531.0,2574,housing_floor,False,
38007,622.0,320.0,493.0,2.0,622,mcc_ok,False,
38009,5131.0,2613.0,3976.0,1398.0,5131,mcc_ok,False,
38011,2623.0,1188.0,1645.0,919.0,2623,mcc_ok,False,
38013,1180.0,950.0,1413.0,707.0,1413,housing_floor,False,
38015,57076.0,39885.0,42968.0,4400.0,57076,mcc_ok,False,
38017,124603.0,79505.0,85944.0,20585.0,124603,mcc_ok,False,
38019,928.0,1519.0,2114.0,1864.0,2114,housing_floor,False,
