fips,state,county,n_events_total,n_per_year,observation_years,duration_p95,dqi,d1_volume,d2_per_year,d3_obs_years,d4_tail,d5_dqi,tier
48321,TX,Matagorda,6052,541.9424672087607,11.16723705224732,17.25,0.77625993638,green,green,green,green,amber,amber
48323,TX,Maverick,3627,324.789380133208,11.16723705224732,12.924999999999955,0.77625993638,green,green,green,green,amber,amber
48325,TX,Medina,6755,604.8944755444776,11.16723705224732,22.574999999999818,0.77625993638,green,green,green,green,amber,amber
48327,TX,Menard,1711,153.21605442732806,11.16723705224732,8.875,0.77625993638,green,green,green,green,amber,amber
48329,TX,Midland,6533,585.0148939647775,11.16723705224732,21.75,0.77625993638,green,green,green,green,amber,amber
48331,TX,Milam,4264,381.831242593879,11.16723705224732,12.25,0.77625993638,green,green,green,green,amber,amber
48333,TX,Mills,915,81.93611326768276,11.16723705224732,8.5,0.77625993638,green,green,green,green,amber,amber
48335,TX,Mitchell,3548,317.71511461610754,11.16723705224732,12.75,0.77625993638,green,green,green,green,amber,amber
48337,TX,Montague,3196,286.19433661586237,11.16723705224732,17.8125,0.77625993638,green,green,green,green,amber,amber
48339,TX,Montgomery,4502,403.14358680995383,11.16723705224732,65.98749999999995,0.77625993638,green,green,green,green,amber,amber
48341,TX,Moore,3748,335.6246475707923,11.16723705224732,7.75,0.77625993638,green,green,green,green,amber,amber
48343,TX,Morris,4463,399.6512278837903,11.16723705224732,9.25,0.77625993638,green,green,green,green,amber,amber
48345,TX,Motley,728,65.19069995505251,11.16723705224732,9.912499999999994,0.77625993638,green,green,green,green,amber,amber
48347,TX,Nacogdoches,6588,589.9400155273158,11.16723705224732,13.5,0.77625993638,green,green,green,green,amber,amber
48349,TX,Navarro,6016,538.7187512769174,11.16723705224732,12.25,0.77625993638,green,green,green,green,amber,amber
48351,TX,Newton,590,52.83312221632003,11.16723705224732,18.437499999999943,0.77625993638,green,green,green,green,amber,amber
48353,TX,Nolan,3827,342.6989130878928,11.16723705224732,10.5,0.77625993638,green,green,green,green,amber,amber
48355,TX,Nueces,4630,414.60568790095203,11.16723705224732,44.887500000000045,0.77625993638,green,green,green,green,amber,amber
48357,TX,Ochiltree,2113,189.21421566624443,11.16723705224732,6.25,0.77625993638,green,green,green,green,amber,amber
48359,TX,Oldham,1420,127.15768397826176,11.16723705224732,10.75,0.77625993638,green,green,green,green,amber,amber
48361,TX,Orange,8389,751.215359784252,11.16723705224732,14.0,0.77625993638,green,green,green,green,amber,amber
48363,TX,Palo Pinto,5535,495.6463245209006,11.16723705224732,10.25,0.77625993638,green,green,green,green,amber,amber
48365,TX,Panola,5841,523.0479099415683,11.16723705224732,10.5,0.77625993638,green,green,green,green,amber,amber
48367,TX,Parker,7291,652.8920238630327,11.16723705224732,16.25,0.77625993638,green,green,green,green,amber,amber
48369,TX,Parmer,3546,317.5360192865607,11.16723705224732,22.25,0.77625993638,green,green,green,green,amber,amber
48371,TX,Pecos,3671,328.72947738323865,11.16723705224732,15.75,0.77625993638,green,green,green,green,amber,amber
48373,TX,Polk,7240,648.3250929595881,11.16723705224732,17.75,0.77625993638,green,green,green,green,amber,amber
48375,TX,Potter,8599,770.0203693866711,11.16723705224732,11.5,0.77625993638,green,green,green,green,amber,amber
48377,TX,Presidio,1318,118.02382217137253,11.16723705224732,17.0,0.77625993638,green,green,green,green,amber,amber
48379,TX,Rains,3212,287.62709925223714,11.16723705224732,6.0,0.77625993638,green,green,green,green,amber,amber
48381,TX,Randall,8244,738.2309483921056,11.16723705224732,10.0,0.77625993638,green,green,green,green,amber,amber
48383,TX,Reagan,3375,302.2233686103052,11.16723705224732,14.75,0.77625993638,green,green,green,green,amber,amber
48385,TX,Real,1727,154.64881706370286,11.16723705224732,8.75,0.77625993638,green,green,green,green,amber,amber
48387,TX,Red River,2702,241.95779021779103,11.16723705224732,8.487499999999955,0.77625993638,green,green,green,green,amber,amber
48389,TX,Reeves,3935,352.3700608834225,11.16723705224732,15.25,0.77625993638,green,green,green,green,amber,amber
