fips,NAME,mcc,households,housing_units,population,peak,ratio_hh,base_repaired,corrupt_outage
51049,"Cumberland County, Virginia",3604.0,4055,4658,9697,4042,0.8887792848335389,3604.0,True
48331,"Milam County, Texas",8681.0,9767,11564,25080,6335,0.8888092556568036,8681.0,False
26091,"Lenawee County, Michigan",34336.0,38626,43634,99263,33294,0.8889349143064257,34336.0,False
18169,"Wabash County, Indiana",11095.0,12471,14053,31032,4379,0.889664020527624,11095.0,False
30037,"Golden Valley County, Montana",316.0,355,472,841,678,0.8901408450704226,316.0,True
19073,"Greene County, Iowa",3417.0,3837,4325,8801,3689,0.890539483971853,3417.0,True
29059,"Dallas County, Missouri",5897.0,6604,7597,17158,4000,0.8929436705027256,5897.0,False
31075,"Grant County, Nebraska",251.0,281,396,649,60,0.8932384341637011,251.0,False
39155,"Trumbull County, Ohio",76066.0,85042,94575,201749,46751,0.8944521530537852,76066.0,False
17075,"Iroquois County, Illinois",10038.0,11217,12815,27043,5566,0.8948916822679861,10038.0,False
29137,"Monroe County, Missouri",3068.0,3425,4493,8668,1039,0.8957664233576642,3068.0,False
35031,"McKinley County, New Mexico",18739.0,20913,25180,72073,5030,0.896045521924162,18739.0,False
30015,"Chouteau County, Montana",1959.0,2184,2847,5897,1955,0.896978021978022,1959.0,False
51510,"Alexandria city, Virginia",67166.0,74818,80253,157594,18174,0.8977251463551552,67166.0,False
51105,"Lee County, Virginia",7474.0,8324,10906,22287,7683,0.8978856319077366,7474.0,True
17043,"DuPage County, Illinois",313751.0,348870,365347,930559,64595,0.899334995843724,313751.0,False
48499,"Wood County, Texas",16030.0,17824,22123,45341,23440,0.8993491921005387,16030.0,True
29211,"Sullivan County, Missouri",1796.0,1991,3057,5983,641,0.9020592667001507,1796.0,False
51121,"Montgomery County, Virginia",32573.0,36062,41660,99373,22393,0.9032499584049692,32573.0,False
16021,"Boundary County, Idaho",4261.0,4710,5456,12335,4041,0.9046709129511677,4261.0,False
13243,"Randolph County, Georgia",2312.0,2553,3493,6365,4423,0.9056012534273404,2312.0,True
