legacy_county_fips,legacy_county_name,planning_region_fips,planning_region_name,planning_town_name,pous_city_name,pous_tracked_customers_2019q1,pilot_customer_density,pilot_within_county_relative_rate,planning_cousub_geoid,gazetteer_name,gazetteer_land_area_sq_m,gazetteer_lat,gazetteer_lon,bridge_status,bridge_note
09007,Middlesex,09130,Lower Connecticut River Valley Planning Region,Portland,Portland,4656.0,76.9888038502868,0.44240953564123486,0913061800,Portland town,60476326,41.598834,-72.589071,matched,
09007,Middlesex,09130,Lower Connecticut River Valley Planning Region,Westbrook,Westbrook,4658.0,114.04387383878094,1.7337311283002446,0913081680,Westbrook town,40843930,41.303695,-72.478017,matched,
09009,New Haven,09140,Naugatuck Valley Planning Region,Ansonia,Ansonia,8555.0,548.7981993004122,0.13206427151885922,0914001220,Ansonia town,15588608,41.344249,-73.069825,matched,
09009,New Haven,09140,Naugatuck Valley Planning Region,Beacon Falls,Beacon Falls,2806.0,111.99099474264939,0.9549273190798916,0914003250,Beacon Falls town,25055586,41.443685,-73.051925,matched,
09009,New Haven,09140,Naugatuck Valley Planning Region,Cheshire,Cheshire,11575.0,136.10347269157015,1.9509510857800203,0914014160,Cheshire town,85045589,41.511827,-72.903617,matched,
09009,New Haven,09140,Naugatuck Valley Planning Region,Derby,Derby,6393.0,488.2342271820377,0.11723196361195587,0914019550,Derby town,13094125,41.326124,-73.082574,matched,
09009,New Haven,09140,Naugatuck Valley Planning Region,Middlebury,Middlebury,3485.0,75.77979639306,1.4496954456264324,0914046940,Middlebury town,45988511,41.524691,-73.123016,matched,
09009,New Haven,09140,Naugatuck Valley Planning Region,Naugatuck,Naugatuck,14450.0,340.52044343349803,4.4137106445371375,0914049950,Naugatuck town,42435044,41.487785,-73.051551,matched,
09009,New Haven,09140,Naugatuck Valley Planning Region,Oxford,Oxford,5613.0,66.18350155788865,1.784411459387825,0914058300,Oxford town,84809656,41.444033,-73.148235,matched,
09009,New Haven,09140,Naugatuck Valley Planning Region,Prospect,Prospect,4149.0,112.80144718628901,1.3493169596915622,0914062290,Prospect town,36781443,41.499247,-72.975634,matched,
09009,New Haven,09140,Naugatuck Valley Planning Region,Seymour,Seymour,7631.0,202.94715113634714,1.8219733089383092,0914067610,Seymour town,37600922,41.385466,-73.083641,matched,
09009,New Haven,09140,Naugatuck Valley Planning Region,Southbury,Southbury,9962.0,98.61082470879616,0.7705692489210177,0914069640,Southbury town,101023392,41.475986,-73.229692,matched,
09009,New Haven,09140,Naugatuck Valley Planning Region,Waterbury,Waterbury,51722.0,699.312593648762,0.45984296493902693,0914080070,Waterbury town,73961202,41.5585,-73.036685,matched,
09009,New Haven,09140,Naugatuck Valley Planning Region,Wolcott,Wolcott,6989.0,132.3656518462906,0.1505156892718054,0914087560,Wolcott town,52800707,41.59503,-72.968514,matched,
09009,New Haven,09170,South Central Connecticut Planning Region,Bethany,Bethany,2353.0,43.12304772222248,11.082811793530889,0917004580,Bethany town,54564789,41.422964,-72.994187,matched,
09009,New Haven,09170,South Central Connecticut Planning Region,Branford,Branford,16593.0,293.3262264228859,0.3129769823743222,0917007310,Branford town,56568416,41.279949,-72.78595,matched,
09009,New Haven,09170,South Central Connecticut Planning Region,East Haven,East Haven,13315.0,418.08770170612127,0.15712469171132792,0917022910,East Haven town,31847385,41.293453,-72.858994,matched,
09009,New Haven,09170,South Central Connecticut Planning Region,Guilford,Guilford,11043.0,90.56588472925422,0.555969339234529,0917034950,Guilford town,121933331,41.339032,-72.70609,matched,
09009,New Haven,09170,South Central Connecticut Planning Region,Hamden,Hamden,26952.0,318.90631321264283,1.1965004505317605,0917035650,Hamden town,84513849,41.397329,-72.922226,matched,
09009,New Haven,09170,South Central Connecticut Planning Region,Madison,Madison,9184.0,98.09648387338238,0.47229520630230576,0917044560,Madison town,93622112,41.344479,-72.624543,matched,
09009,New Haven,09170,South Central Connecticut Planning Region,Meriden,Meriden,27834.0,452.8311316668744,0.31697648191026734,0917046520,Meriden town,61466622,41.536777,-72.794543,matched,
09009,New Haven,09170,South Central Connecticut Planning Region,Milford,Milford,27328.0,475.7325232882281,0.7690831647342966,0917047535,Milford town,57444044,41.225086,-73.06111,matched,
09009,New Haven,09170,South Central Connecticut Planning Region,New Haven,New Haven,58827.0,1215.2562660573121,0.7954538090049411,0917052070,New Haven town,48407074,41.310809,-72.924953,matched,
09009,New Haven,09170,South Central Connecticut Planning Region,North Branford,North Branford,3491.0,54.44186005457099,0.08157827279534687,0917053890,North Branford town,64123452,41.362257,-72.783462,matched,
09009,New Haven,09170,South Central Connecticut Planning Region,North Haven,North Haven,11648.0,215.8048362441851,1.8039425564151967,0917054870,North Haven town,53974694,41.381465,-72.856371,matched,
09009,New Haven,09170,South Central Connecticut Planning Region,Orange,Orange,6396.0,143.73432934002392,0.4690908084039187,0917057600,Orange town,44498764,41.284951,-73.024637,matched,
09009,New Haven,09170,South Central Connecticut Planning Region,Wallingford,Wallingford,9.0,0.08872794559699253,0.0,0917078740,Wallingford town,101433657,41.458657,-72.804516,matched,
09009,New Haven,09170,South Central Connecticut Planning Region,West Haven,West Haven,24872.0,893.306447462271,1.0059774939103792,0917082870,West Haven town,27842629,41.272121,-72.967497,matched,
09009,New Haven,09170,South Central Connecticut Planning Region,Woodbridge,Woodbridge,3751.0,76.98729167841265,4.501116740830628,0917087700,Woodbridge town,48722327,41.363536,-73.003891,matched,
09011,New London,09130,Lower Connecticut River Valley Planning Region,Lyme,Lyme,1338.0,16.247021956089473,4.897564650961298,0913044210,Lyme town,82353554,41.398615,-72.331546,matched,
09011,New London,09130,Lower Connecticut River Valley Planning Region,Old Lyme,Old Lyme,5495.0,92.19024630885018,1.7761440348968447,0913057040,Old Lyme town,59605004,41.31232,-72.305742,matched,
09011,New London,09150,Northeastern Connecticut Planning Region,Voluntown,Voluntown,1321.0,13.089056852898084,2.0665567579986703,0915078600,Voluntown town,100924002,41.579192,-71.831228,matched,
09011,New London,09180,Southeastern Connecticut Planning Region,Bozrah,,0,,,0918006820,Bozrah town,51708109,41.545058,-72.175228,gazetteer_only,True CT municipality present in Census gazetteer but absent from PoUS pilot feature table.
09011,New London,09180,Southeastern Connecticut Planning Region,Colchester,Colchester,7233.0,57.05760216976974,0.5361427028563859,0918015910,Colchester town,126766631,41.557271,-72.344247,matched,
09011,New London,09180,Southeastern Connecticut Planning Region,East Lyme,East Lyme,10079.0,114.39775608330412,0.8661709859094093,0918023400,East Lyme town,88104875,41.356068,-72.229841,matched,
09011,New London,09180,Southeastern Connecticut Planning Region,Franklin,Franklin,1020.0,19.980904915202707,2.284843711168013,0918029910,Franklin town,51048739,41.621212,-72.142609,matched,
09011,New London,09180,Southeastern Connecticut Planning Region,Griswold,Griswold,3407.0,37.89886806637595,1.9963987229387643,0918033900,Griswold town,89897144,41.584772,-71.921091,matched,
09011,New London,09180,Southeastern Connecticut Planning Region,Groton,Groton,5594.0,69.4271069736935,0.19254518830308232,0918034250,Groton town,80573716,41.347718,-72.031345,matched,
09011,New London,09180,Southeastern Connecticut Planning Region,Lebanon,Lebanon,2225.0,15.88001044126745,4.164130229074069,0918042390,Lebanon town,140113258,41.632955,-72.24009,matched,
09011,New London,09180,Southeastern Connecticut Planning Region,Ledyard,Ledyard,6781.0,68.51657651009458,0.3509788774785763,0918042600,Ledyard town,98968751,41.431132,-72.020303,matched,
09011,New London,09180,Southeastern Connecticut Planning Region,Lisbon,Lisbon,1862.0,44.12294671900631,2.4649411767319482,0918043230,Lisbon town,42200264,41.602766,-72.012261,matched,
09011,New London,09180,Southeastern Connecticut Planning Region,Montville,Montville,8055.0,74.39287036462804,0.7170509815301301,0918048900,Montville town,108276505,41.4639,-72.15557,matched,
09011,New London,09180,Southeastern Connecticut Planning Region,New London,New London,13996.0,963.8191810208881,0.09556124704537913,0918052350,New London town,14521396,41.332957,-72.096176,matched,
09011,New London,09180,Southeastern Connecticut Planning Region,North Stonington,North Stonington,2614.0,18.60473392259,2.343322109168587,0918055500,North Stonington town,140501875,41.470969,-71.872525,matched,
09011,New London,09180,Southeastern Connecticut Planning Region,Norwich,Norwich,5.0,0.06879454050929368,0.0,0918056270,Norwich town,72680186,41.548006,-72.089454,matched,
09011,New London,09180,Southeastern Connecticut Planning Region,Preston,Preston,2217.0,27.76501196713344,3.1146793792608207,0918062150,Preston town,79848696,41.518652,-72.006597,matched,
09011,New London,09180,Southeastern Connecticut Planning Region,Salem,Salem,1981.0,26.43981015922678,0.8037229104722079,0918066210,Salem town,74924895,41.489351,-72.25838,matched,
09011,New London,09180,Southeastern Connecticut Planning Region,Sprague,Sprague,1458.0,42.51213476521668,7.205400805453745,0918071670,Sprague town,34296090,41.63557,-72.077527,matched,
09011,New London,09180,Southeastern Connecticut Planning Region,Stonington,Stonington,10831.0,108.22817625190827,0.3440969318338764,0918073770,Stonington town,100075603,41.36351,-71.911368,matched,
09011,New London,09180,Southeastern Connecticut Planning Region,Waterford,Waterford,9789.0,114.99912743281337,0.33071088146798816,0918080280,Waterford town,85122385,41.351686,-72.146834,matched,
09013,Tolland,09110,Capitol Planning Region,Andover,Andover,1421.0,35.51391610678307,3.866261827105344,0911001080,Andover town,40012484,41.732982,-72.374658,matched,
09013,Tolland,09110,Capitol Planning Region,Bolton,Bolton,2253.0,60.37858417445954,2.227685846906154,0911006260,Bolton town,37314555,41.764589,-72.437575,matched,
